Value,Name,IsActive,S_ResourceType_ID[Value],M_Warehouse_ID[Value],IsAvailable,FORCA_Port_ID[Value]
4405_PACKER MACHINE 1,4405_PACKER MACHINE 1,Y,PACKER,4405,Y,BIRINGKASSI
4405_PACKER MACHINE 2,4405_PACKER MACHINE 2,Y,PACKER,4405,Y,BIRINGKASSI
4411_CURAH,4411_CURAH,Y,PACKER,4411,Y,BIRINGKASSI
4411_DISTRIBUTION CENTRE,4411_DISTRIBUTION CENTRE,Y,PACKER,4411,Y,BIRINGKASSI
4411_PACKER MACHINE 1,4411_PACKER MACHINE 1,Y,PACKER,4411,Y,BIRINGKASSI
4413_CURAH,4413_CURAH,Y,PACKER,4413,Y,BIRINGKASSI
4413_DISTRIBUTION CENTRE,4413_DISTRIBUTION CENTRE,Y,PACKER,4413,Y,BIRINGKASSI
4413_PACKER MACHINE 1,4413_PACKER MACHINE 1,Y,PACKER,4413,Y,BIRINGKASSI
4409_CURAH,4409_CURAH,Y,PACKER,4409,Y,BIRINGKASSI
4409_DISTRIBUTION CENTRE,4409_DISTRIBUTION CENTRE,Y,PACKER,4409,Y,BIRINGKASSI
4409_PACKER MACHINE 1,4409_PACKER MACHINE 1,Y,PACKER,4409,Y,BIRINGKASSI
4416_CURAH,4416_CURAH,Y,PACKER,4416,Y,BIRINGKASSI
4416_DISTRIBUTION CENTRE,4416_DISTRIBUTION CENTRE,Y,PACKER,4416,Y,BIRINGKASSI
4416_PACKER MACHINE 1,4416_PACKER MACHINE 1,Y,PACKER,4416,Y,BIRINGKASSI
4408_CURAH,4408_CURAH,Y,PACKER,4408,Y,BIRINGKASSI
4408_DISTRIBUTION CENTRE,4408_DISTRIBUTION CENTRE,Y,PACKER,4408,Y,BIRINGKASSI
4408_PACKER MACHINE 1,4408_PACKER MACHINE 1,Y,PACKER,I,Y,BIRINGKASSI
4412_CURAH,4412_CURAH,Y,PACKER,4412,Y,BIRINGKASSI
4412_DISTRIBUTION CENTRE,4412_DISTRIBUTION CENTRE,Y,PACKER,4412,Y,BIRINGKASSI
4412_PACKER MACHINE 1,4412_PACKER MACHINE 1,Y,PACKER,4412,Y,BIRINGKASSI
IL20_CURAH,IL20_CURAH,Y,PACKER,IL20,Y,TELUK BAYUR
IL20_DISTRIBUTION CENTRE,IL20_DISTRIBUTION CENTRE,Y,PACKER,IL20,Y,TELUK BAYUR
IL20_PACKER MACHINE 1,IL20_PACKER MACHINE 1,Y,PACKER,IL20,Y,TELUK BAYUR
IL20_PACKER MACHINE 2,IL20_PACKER MACHINE 2,Y,PACKER,IL20,Y,TELUK BAYUR
IL20_PACKER MACHINE 3,IL20_PACKER MACHINE 3,Y,PACKER,IL20,Y,TELUK BAYUR
IL20_PACKER MACHINE 4,IL20_PACKER MACHINE 4,Y,PACKER,IL20,Y,TELUK BAYUR
I251_CURAH,I251_CURAH,Y,PACKER,I251,Y,TELUK BAYUR
I251_DISTRIBUTION CENTRE,I252_DISTRIBUTION CENTRE,Y,PACKER,I251,Y,TELUK BAYUR
I251_PACKER MACHINE 1,I253_PACKER MACHINE 1,Y,PACKER,I251,Y,TELUK BAYUR
IL23_CURAH,IL23_CURAH,Y,PACKER,IL23,Y,TELUK BAYUR
IL23_DISTRIBUTION CENTRE,IL23_DISTRIBUTION CENTRE,Y,PACKER,IL23,Y,TELUK BAYUR
IL23_PACKER MACHINE 1,IL23_PACKER MACHINE 1,Y,PACKER,IL23,Y,TELUK BAYUR
I246_CURAH,I246_CURAH,Y,PACKER,I246,Y,BIRINGKASSI
I246_DISTRIBUTION CENTRE,I247_DISTRIBUTION CENTRE,Y,PACKER,I246,Y,BIRINGKASSI
I246_PACKER MACHINE 1,I248_PACKER MACHINE 1,Y,PACKER,I246,Y,BIRINGKASSI
I246_PACKER MACHINE 2,I249_PACKER MACHINE 2,Y,PACKER,I246,Y,BIRINGKASSI
